gene_id	transcript_id	chrom	tx_start	tx_end	strand
ENSG00000111671	ENST00000524270.5	chr12	6870934	6873336	-
ENSG00000110514	ENST00000311027.9	chr11	47269673	47330031	+
ENSG00000086015	ENST00000361297.6	chr1	45803612	46036124	+
ENSG00000211769	ENST00000390417.1	chr7	142797118	142797166	+
ENSG00000211768	ENST00000390416.1	chr7	142796997	142797047	+
ENSG00000211767	ENST00000390415.1	chr7	142796846	142796895	+
ENSG00000211766	ENST00000390414.1	chr7	142796696	142796742	+
ENSG00000211765	ENST00000390413.1	chr7	142796559	142796610	+
ENSG00000211764	ENST00000390412.1	chr7	142796364	142796414	+
ENSG00000070770	ENST00000262506.7	chr16	58157906	58197920	-
ENSG00000169740	ENST00000374433.6	chr10	43643858	43648856	-
ENSG00000215869	ENST00000634888.1	chr1	104073169	104226678	+
ENSG00000261609	ENST00000568107.3	chr16	81314946	81390884	+
ENSG00000169744	ENST00000304523.9	chr4	16501540	16898809	-
ENSG00000215864	ENST00000445758.3	chr1	119834869	119844514	-
ENSG00000261606	ENST00000564823.1	chr15	74821073	74831795	+
ENSG00000215866	ENST00000401018.5	chr1	112820173	112850643	-
ENSG00000215867	ENST00000443599.2	chr1	111648290	111649544	-
ENSG00000261603	ENST00000463091.2	chr3	46719582	46736429	-
ENSG00000215861	ENST00000313342.8	chr1	149197991	149321732	-
ENSG00000261600	ENST00000567067.1	chr2	91580335	91580863	+
ENSG00000238417	ENST00000459054.1	chr16	8705455	8705517	-
ENSG00000168298	ENST00000304218.5	chr6	26156353	26157107	+
ENSG00000168297	ENST00000356151.6	chr3	58332879	58425151	+
ENSG00000266460	ENST00000581971.1	chr18	75844924	75868252	-
ENSG00000266461	ENST00000584881.1	chr14	100814490	100814574	+
ENSG00000266466	ENST00000579239.1	chr17	21532973	21542786	+
ENSG00000266467	ENST00000581978.2	chr10	68007717	68008017	-
ENSG00000266464	ENST00000577984.2	chr6_GL000254v2_alt	4635553	4635649	+
ENSG00000168291	ENST00000302746.10	chr3	58427629	58433852	-
ENSG00000262558	ENST00000571512.1	chr17	354736	356882	+
ENSG00000270591	ENST00000604583.1	chr14	103762802	103763147	+
ENSG00000262554	ENST00000571388.1	chr16	3308608	3308816	+
ENSG00000204221	ENST00000432933.6	chr6_GL000251v2_alt	4690588	4701012	-
ENSG00000225108	ENST00000452761.1	chr2	109986938	109988394	-
ENSG00000225109	ENST00000428949.1	chr6_GL000252v2_alt	1442669	1444493	-
ENSG00000225100	ENST00000456300.2	chr10	79982909	79983240	-
ENSG00000225101	ENST00000641797.2	chr11	4393782	4476361	+
ENSG00000225102	ENST00000456036.1	chr6	11990342	11992012	-
ENSG00000225103	ENST00000446482.2	chr6_GL000255v2_alt	3935605	3941465	+
ENSG00000225105	ENST00000435725.2	chr13	25193106	25210295	-
ENSG00000225106	ENST00000447909.1	chr20	61738218	61755056	-
ENSG00000225107	ENST00000420548.1	chr2	145569293	145588024	-
ENSG00000226457	ENST00000445689.1	chr1	16369149	16369530	-
ENSG00000226455	ENST00000445838.1	chr6	89950410	89953186	+
ENSG00000226454	ENST00000648418.1	chr6	40505506	40523963	-
ENSG00000226453	ENST00000418567.1	chr6	81845184	81933480	-
ENSG00000226450	ENST00000433633.1	chr22	42149885	42155001	-
ENSG00000141854	ENST00000587086.2	chr19	14072773	14075062	+
ENSG00000149798	ENST00000279249.2	chr11	65314817	65322429	+
ENSG00000197847	ENST00000525437.5	chr11	65213839	65242757	+
ENSG00000183055	ENST00000332869.5	chr10	58715553	58716257	+
ENSG00000183054	ENST00000329516.7	chr2	110513820	110577101	-
ENSG00000181562	ENST00000326842.2	chr14	20745891	20748380	+
ENSG00000250566	ENST00000509021.1	chr4	68509440	68517647	-
ENSG00000250567	ENST00000507948.1	chr5	103408940	103412511	-
ENSG00000250564	ENST00000512748.1	chr5	134429050	134460615	-
ENSG00000250565	ENST00000522587.5	chr2	46511866	46542557	-
ENSG00000250562	ENST00000502376.1	chr3	98525060	98525274	-
ENSG00000250563	ENST00000358374.3	chr8	126072586	126074231	+
ENSG00000187961	ENST00000338591.7	chr1	960586	965715	+
ENSG00000250561	ENST00000508367.2	chr7	6879626	6880626	-
ENSG00000207645	ENST00000384913.2	chr19	53666678	53666762	+
ENSG00000250568	ENST00000510152.1	chr4	39973127	39973442	-
ENSG00000250569	ENST00000515730.1	chr8	86481753	86483002	-
ENSG00000162840	ENST00000262499.5	chr4	68376322	68376505	+
ENSG00000162843	ENST00000366552.6	chr1	241652277	241802133	+
ENSG00000259247	ENST00000558356.1	chrY	22330451	22332500	+
ENSG00000162849	ENST00000407071.6	chr1	245154984	245703126	+
ENSG00000149243	ENST00000539798.1	chr11	75422395	75430629	-
ENSG00000184702	ENST00000455784.6	chr22	19714463	19723319	+
ENSG00000171903	ENST00000248041.12	chr19	15912366	15934867	-
ENSG00000184708	ENST00000330125.9	chr22	31439368	31489741	-
ENSG00000184709	ENST00000371542.3	chr9	137168757	137170051	-
ENSG00000206811	ENST00000384084.1	chr16	1962333	1962466	-
ENSG00000163462	ENST00000334634.8	chr1	155173966	155184971	+
ENSG00000163463	ENST00000295682.4	chr1	155169407	155173333	-
ENSG00000163464	ENST00000295683.2	chr2	218162844	218166995	-
ENSG00000163466	ENST00000315717.9	chr2	218217093	218254348	+
ENSG00000163467	ENST00000368255.7	chr1	156337313	156346995	+
ENSG00000163468	ENST00000295688.7	chr1	156308967	156338465	-
ENSG00000206813	ENST00000384086.1	chr22	41747311	41747413	+
ENSG00000154760	ENST00000285013.10	chr17	35435095	35448837	-
ENSG00000162599	ENST00000371187.7	chr1	61082620	61456394	+
ENSG00000162598	ENST00000371201.3	chr1	59990393	60073770	-
ENSG00000267731	ENST00000591222.1	chr17	68189883	68192802	+
ENSG00000162592	ENST00000294600.6	chr1	3752397	3771644	+
ENSG00000162591	ENST00000356575.8	chr1	3489925	3611495	-
ENSG00000267732	ENST00000590589.1	chr18	56138611	56143221	+
ENSG00000267735	ENST00000592400.1	chr19	12880968	12884088	+
ENSG00000267734	ENST00000585888.1	chr1	86932198	86934891	-
ENSG00000162595	ENST00000370981.2	chr1	68045895	68051631	-
ENSG00000162594	ENST00000347310.9	chr1	67166399	67259979	+
ENSG00000263609	ENST00000578977.1	chr17	22234329	22266362	-
ENSG00000263608	ENST00000579902.2	chr6	30751037	30751289	+
ENSG00000272384	ENST00000607710.1	chr8	122779970	122780830	-
ENSG00000118640	ENST00000263864.9	chr2	85577490	85582031	+
ENSG00000263600	ENST00000578518.1	chrX	32583655	32583752	-
ENSG00000263603	ENST00000581019.1	chr17	30729468	30730391	+
ENSG00000168488	ENST00000395547.6	chr16	28823092	28837237	+
ENSG00000263604	ENST00000584894.1	chr17	27683945	27684144	-
ENSG00000159961	ENST00000291231.1	chr17	3420567	3421533	+
ENSG00000201465	ENST00000364595.1	chr7	138187997	138188129	-
ENSG00000253144	ENST00000523735.1	chr5	179082679	179083194	-
ENSG00000253147	ENST00000523035.1	chr8	20953641	20968904	+
ENSG00000253146	ENST00000524055.1	chr5	154559307	154560440	-
ENSG00000253141	ENST00000518605.1	chr5	173469681	173484584	+
ENSG00000115073	ENST00000289228.6	chr2	97655962	97664107	-
ENSG00000253143	ENST00000521051.1	chr8	70471111	70480623	-
ENSG00000253142	ENST00000522805.1	chr8	22895433	22897813	-
ENSG00000259161	ENST00000553295.2	chr14	101843393	101844122	-
ENSG00000259160	ENST00000555669.1	chr14	64535701	64535879	-
ENSG00000259163	ENST00000557007.1	chr14	90642639	90648894	+
ENSG00000259162	ENST00000553568.1	chr14	20437981	20441268	+
ENSG00000201469	ENST00000364599.1	chr12	132723944	132724057	-
ENSG00000253148	ENST00000417209.2	chr1	192316991	192367285	+
ENSG00000259167	ENST00000554095.2	chr14	81032528	81033404	+
ENSG00000259166	ENST00000553318.1	chr14	101447641	101457117	+
ENSG00000213853	ENST00000359543.7	chr16	10528421	10580698	-
ENSG00000213851	ENST00000468126.1	chr4	43410040	43410937	-
ENSG00000258590	ENST00000554452.5	chr15	20657637	20688408	-
ENSG00000213857	ENST00000423293.1	chr22	41074179	41075239	-
ENSG00000213856	ENST00000423609.1	chrX	49632499	49633349	-
ENSG00000213854	ENST00000439038.1	chr3	31181750	31182650	-
ENSG00000213859	ENST00000576980.2	chr17	7351888	7354939	+
ENSG00000178773	ENST00000268720.9	chr16	89575767	89597246	+
ENSG00000225816	ENST00000442645.1	chr7	14985377	14986074	-
ENSG00000225814	ENST00000421856.1	chrX	64697877	64698547	-
ENSG00000225815	ENST00000449673.1	chr2	66327360	66328984	+
ENSG00000225813	ENST00000429684.1	chr2	161281901	161282618	+
ENSG00000225811	ENST00000452178.1	chr1	190264897	190362270	+
ENSG00000225818	ENST00000442627.1	chr17	71596337	71597278	+
ENSG00000225819	ENST00000450486.1	chr2	130515996	130526691	-
ENSG00000229306	ENST00000457565.1	chr21	12999675	13016692	-
ENSG00000229307	ENST00000431656.1	chr13	62323656	62328833	+
ENSG00000229305	ENST00000453364.1	chr1	8189823	8192770	+
ENSG00000229302	ENST00000454958.1	chrY	18276606	18277495	-
ENSG00000229303	ENST00000420177.1	chr13	45436120	45436660	+
ENSG00000238489	ENST00000459351.1	chr15	20855250	20855357	-
ENSG00000229301	ENST00000418297.1	chr7	63354456	63359306	+
ENSG00000238485	ENST00000458890.1	chrX	139702286	139702390	-
ENSG00000269911	ENST00000602508.1	chrX	72777607	72779097	+
ENSG00000238482	ENST00000459588.1	chr1	24777872	24777979	-
ENSG00000229308	ENST00000426699.1	chrY	4036496	4100320	+
ENSG00000229309	ENST00000458480.2	chr13	81250437	81302407	+
ENSG00000055070	ENST00000401088.8	chr1	16367082	16398142	+
ENSG00000227411	ENST00000412284.1	chr9	101334083	101339347	-
ENSG00000227412	ENST00000423835.1	chr9	85492578	85494094	+
ENSG00000227413	ENST00000442557.1	chr22	40433135	40433641	+
ENSG00000227416	ENST00000417484.1	chr1	37782456	37782885	-
ENSG00000227417	ENST00000432760.2	chr1	203805620	203806263	-
ENSG00000227418	ENST00000454040.5	chr2	192749844	192776899	+
ENSG00000155714	ENST00000424898.2	chr16	21983864	22001110	-
ENSG00000182010	ENST00000373789.7	chr10	62193193	62268707	-
ENSG00000244740	ENST00000477176.1	chr3	136205539	136205915	-
ENSG00000244748	ENST00000486501.3	chr5	72314396	72314688	-
ENSG00000211563	ENST00000390137.4	chr17	81125876	81125955	+
ENSG00000186704	ENST00000425797.2	chr7	76978616	77004308	+
ENSG00000251779	ENST00000515970.1	chr17	76319375	76319473	+
ENSG00000251774	ENST00000515965.1	chr3	12514705	12514807	+
ENSG00000251775	ENST00000515966.1	chr2	63883248	63883391	-
ENSG00000251776	ENST00000515967.1	chr9	83200939	83201228	-
ENSG00000251770	ENST00000515961.1	chr20	47873190	47873273	+
ENSG00000245293	ENST00000499098.1	chr4	107863478	107932119	-
ENSG00000251773	ENST00000515964.1	chr3	86235320	86235424	+
ENSG00000164659	ENST00000450689.6	chr7	86876905	87059699	-
ENSG00000242748	ENST00000455252.1	chr20	41196690	41197157	+
ENSG00000178372	ENST00000380332.4	chr10	5498696	5499555	-
ENSG00000164651	ENST00000361443.4	chr7	20784286	20786886	-
ENSG00000242741	ENST00000498832.1	chr3	73808600	73902866	+
ENSG00000164654	ENST00000340080.8	chr7	7566871	7607496	+
ENSG00000149187	ENST00000358597.7	chr11	47468283	47489014	-
ENSG00000252236	ENST00000516427.1	chr1	156192062	156192203	-
ENSG00000252237	ENST00000516428.1	chr12	28319334	28319463	-
ENSG00000252230	ENST00000516421.1	chr19	34637695	34637781	-
ENSG00000252231	ENST00000516422.1	chr1	173921069	173921200	+
ENSG00000206113	ENST00000616117.5	chr4	2426475	2462926	+
ENSG00000252238	ENST00000516429.1	chr2	4827000	4827084	-
ENSG00000252239	ENST00000516430.2	chr1_KI270766v1_alt	222592	222699	-
ENSG00000217178	ENST00000404728.1	chr6	74282265	74282660	+
ENSG00000161021	ENST00000292599.3	chr5	179732849	179777286	+
ENSG00000256922	ENST00000541797.1	chr12	127793526	127821183	-
ENSG00000256923	ENST00000537293.1	chr12	22742581	22743091	+
ENSG00000261608	ENST00000567977.1	chr16	35173315	35174093	+
ENSG00000256928	ENST00000544674.1	chr11	73395558	73396436	-
ENSG00000254694	ENST00000532866.1	chr11	126208610	126209027	-
ENSG00000254695	ENST00000532242.1	chr11	15643884	15705368	+
ENSG00000254697	ENST00000526024.1	chr11	78581674	78582156	+
ENSG00000254690	ENST00000525023.1	chr8	144314589	144315138	-
ENSG00000254691	ENST00000527012.1	chr11	77850603	77851511	+
ENSG00000254692	ENST00000530611.1	chr14	24189156	24213473	-
ENSG00000254693	ENST00000533814.1	chr11	44604507	44605337	-
ENSG00000266925	ENST00000587907.1	chr17	20507412	20508931	-
ENSG00000266924	ENST00000587174.1	chr18	79787120	79791432	+
ENSG00000254698	ENST00000527550.1	chr11	82963680	83039115	-
ENSG00000254699	ENST00000530126.1	chr11	86192786	86193482	-
ENSG00000266921	ENST00000586860.1	chr19	43996895	44002836	-
ENSG00000266920	ENST00000587663.1	chr18	62442027	62443126	+
ENSG00000257343	ENST00000550077.1	chr12	52746595	52748308	-
ENSG00000257342	ENST00000549477.1	chr12	57694131	57721510	-
ENSG00000257341	ENST00000477724.6	chr14	105487198	105492267	+
ENSG00000261604	ENST00000565748.1	chr5	43287600	43289725	+
